STUSAB,GEOID,STATE,COUNTY,UR,NAME,Total_20,WNH_20,Hispanic_20,Black_20,AIAN_20,Asian_20,PI_20,Other_20
FL,1277137,12,NA,NA,Whiskey Creek CDP,4842,4150,332,120,56,115,1,338
FL,1277275,12,NA,NA,White City CDP,3779,2971,439,234,81,71,1,356
FL,1277400,12,NA,NA,White Springs town,740,303,16,402,19,9,2,12
FL,1277467,12,NA,NA,Whitfield CDP,2989,2272,419,170,67,52,7,355
FL,1277470,12,NA,NA,Whitfield CDP,312,275,6,2,20,1,1,14
FL,1277675,12,NA,NA,Wildwood city,15730,12210,1094,1710,181,496,23,885
FL,1277735,12,NA,NA,Williamsburg CDP,7908,4426,2038,520,116,765,69,1701
FL,1277825,12,NA,NA,Williston city,2976,1754,431,696,51,76,3,325
FL,1277837,12,NA,NA,Williston Highlands CDP,2591,2058,264,165,80,23,8,195
FL,1277862,12,NA,NA,Willow Oak CDP,6806,3225,2861,580,432,79,14,2126
FL,1278000,12,NA,NA,Wilton Manors city,11426,7683,1829,1405,202,367,19,1598
FL,1278025,12,NA,NA,Wimauma CDP,9467,2151,5818,1285,376,180,31,4466
FL,1278050,12,NA,NA,Windermere town,3030,2376,272,126,48,162,11,288
FL,1278063,12,NA,NA,Winding Cypress CDP,697,639,29,13,5,10,1,24
FL,1278110,12,NA,NA,Windsor CDP,330,299,14,6,3,7,0,10
FL,1278225,12,NA,NA,Winter Beach CDP,3136,2531,245,197,27,109,2,220
FL,1278250,12,NA,NA,Winter Garden city,46964,24412,10500,7175,793,3615,115,9642
FL,1278275,12,NA,NA,Winter Haven city,49219,22443,11530,13703,875,1489,70,8413
FL,1278300,12,NA,NA,Winter Park city,29795,21852,3517,2549,379,1494,52,2776
FL,1278325,12,NA,NA,Winter Springs city,38342,24825,7864,3412,692,1946,110,6024
FL,1278340,12,NA,NA,Wiscon CDP,681,567,59,33,27,4,3,48
FL,1278500,12,NA,NA,Woodlawn Beach CDP,2741,2176,197,143,59,153,4,151
FL,1278700,12,NA,NA,Woodville CDP,4097,2513,195,1220,146,22,10,184
FL,1278740,12,NA,NA,World Golf Village CDP,22117,16491,2629,1571,534,1068,56,2108
FL,1278775,12,NA,NA,Worthington Springs town,378,282,21,54,17,3,2,23
FL,1278800,12,NA,NA,Wright CDP,26277,14089,4963,4732,1087,2015,161,4105
FL,1278900,12,NA,NA,Yalaha CDP,1505,1163,152,111,39,42,1,127
FL,1278925,12,NA,NA,Yankeetown town,588,534,26,9,19,5,0,15
FL,1278975,12,NA,NA,Yeehaw Junction CDP,235,198,12,10,7,7,4,14
FL,1279175,12,NA,NA,Yulee CDP,14195,11616,811,1025,405,323,41,664
FL,1279200,12,NA,NA,Zellwood CDP,2758,2090,456,106,58,36,6,366
FL,1279225,12,NA,NA,Zephyrhills city,17194,11655,3051,1830,404,426,32,2242
FL,1279231,12,NA,NA,Zephyrhills North CDP,2663,2214,252,105,66,31,3,190
FL,1279237,12,NA,NA,Zephyrhills South CDP,4985,4090,565,153,125,53,7,434
FL,1279243,12,NA,NA,Zephyrhills West CDP,5533,4734,479,157,112,48,6,377
FL,1279250,12,NA,NA,Zolfo Springs town,1737,498,1135,72,63,23,5,891
